OID_,PageNumber,PageName,PageName_X,PageName_Y,sea_land,lat_band,regional,area,a_weight,x_min,x_max,y_min,y_max,num_record,t0,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000
,384,F24,,, ,HN,,143552.9673,0.467071632,-65,-60,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,385,F25,,,sea,HN,ne_labrador,143552.9673,0.467071632,-60,-55,60,65,0,0,2.038339482,3.25301371,2.639573723,2.384446111,2.333270964,2.586962747,2.641620006,2.539510633,2.048397087,1.927985239,2.044341229,1.647335519,1.149988828,2.484181999,2.222065464,1.151838991,0.054018048,2.573288891,1.545872361,2.084247017,2.141933554,2.07824554,2.029658373,2.245615703,2.461573034,2.606966631,2.447584948,2.288203265,2.306250608,2.697890743,3.089530877,3.075701047,2.58009837,2.084495694,1.86154141,1.827272732,1.793004053,2.022418307,2.351850223,2.681282138,2.802434848,2.889399701,2.976364554,2.41549815,1.850064959,1.376772466,1.536856584,1.696940702,1.743933246,1.472370136,1.200807025,1.127038845,1.354957885,1.582876924,2.151440922,3.022086298,1.699313081,1.05129842,1.452128327,2.047702693,2.412825952,2.15429603,2.079100044,1.916983972,1.062395581,1.553000598,2.622457692,0.142545657,0.530437797,3.729345911,1.944205105,0.697833049,0.741246377,0.907330642,1.767361938,-0.008581509,0.947360131,1.297142745,1.389797492,1.482452239,1.575106986,1.667761733,1.76041648,1.336240015,0.7209068,0.105573584,-0.509759632,-0.744524106,-0.956284955,-1.168045805,-1.239164355,-0.857497781,-0.475831208,-0.094164635,0.306550991,0.503905602,-0.772744448,-0.14683516,0.545249473,-0.057006383,0.029473588,1.397668164,1,2,-1,-1,-1,0,0,-1,-1,0,-1,-1,0,-1,-2,0,-1,0,-2,-2,-2,0,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,386,F26,,, ,HN,,143552.9673,0.467071632,-55,-50,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,387,F27,,,land,HN,greenland,143552.9673,0.467071632,-50,-45,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,388,F28,,, ,HN,,143552.9673,0.467071632,-45,-40,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,389,F29,,, ,HN,,143552.9673,0.467071632,-40,-35,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,390,F30,,, ,HN,,143552.9673,0.467071632,-35,-30,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,391,F31,,, ,HN,,143552.9673,0.467071632,-30,-25,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,392,F32,,,sea,HN,iceland,143552.9673,0.467071632,-25,-20,60,65,0,1.373606331,2.027760574,0.945745506,1.106661977,0.876507778,0.955387235,1.072643521,1.448449656,0.636055216,0.4563944,0.594125537,1.295834537,1.484134224,2.24610455,2.885549912,2.132125107,0.652369793,0.458330424,1.197586809,1.043922282,1.07646155,1.103724635,1.260781437,1.391071234,1.443050362,1.490059129,1.506860611,1.588318903,2.181410848,2.030283736,1.615834637,1.422991363,1.754196331,0.781489328,2.080341887,0.510508974,0.200437819,0.734714394,1.52612132,1.438219351,1.624457112,2.754941048,1.316799649,2.592241937,1.783446936,2.175796274,1.974036008,1.616257523,1.774927368,2.289449846,2.030497992,1.997420044,2.280425532,2.693539141,2.188158291,1.232582172,2.360796501,1.204324642,1.85591044,1.575519104,1.886081609,2.193837624,2.178365785,1.855639864,1.888364305,1.431024682,1.85640725,1.726763176,1.739044986,1.484105482,1.144504874,0.98667166,1.184953249,1.02507018,-0.05735302,0.011011753,1.054366533,1.157387497,0.597421787,0.090180918,0.33480834,0.037128417,-0.806750158,-0.511631515,0.986081512,1.112096087,0.807734813,0.640561734,0.861120883,1.484389932,1.565895051,0.923910286,0.531684895,0.15660239,0.401431685,0.655048413,0.236488438,0.651128535,1.004457407,0.428104425,-0.168840164,-0.280924042,-0.210086125,0,1,0,-2,-1,-2,-3,-3,-2,-1,-1,-2,-2,-1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,393,F33,,,sea,HN,iceland,143552.9673,0.467071632,-20,-15,60,65,0,0.80229056,0.282891549,0.268771914,1.320521531,0.204952762,1.128691109,1.442463807,0.881783048,0.894860619,0.869124733,0.437399311,0.924434039,0.905576912,0.690052954,-0.143811885,0.806895259,0.417718813,0.212844654,0.82990402,0.396470387,-0.231539718,0.488270959,0.419407831,-0.673063794,0.521190645,0.560828191,0.487955533,0.359889067,-0.506476511,0.66333226,0.339323639,-0.453357823,0.275101182,0.521095133,-0.53742415,-1.1554878,0.082691603,-0.654644278,1.568509025,0.337732087,0.39761078,0.371502621,-0.09753902,-0.043991164,-0.762340796,1.216914276,1.246445737,0.937111168,0.627776599,0.146958807,-0.337527356,-0.743530866,-0.4453478,0.494702018,1.135117987,-0.436655768,-1.061534439,-1.09434631,-0.51418687,0.575659532,1.017567201,0.670561061,0.323554921,-0.19118012,-0.822062159,-1.452944198,-0.81967361,0.399559268,0.152433761,0.183152569,-0.821305981,1.694763882,0.004353973,-0.125295109,0.124550703,0.401643108,0.78790224,0.829633637,0.061753435,-0.424925349,-0.473941499,0.327361334,0.143274039,1.341329272,0.078991691,-0.60170306,0.231269233,0.337337731,-0.933336424,-0.196941831,-1.257430518,0.495599563,-0.029144669,-0.26477748,-0.188139711,1.806545046,-0.166393927,0.94861671,1.240011067,-0.514544118,-0.142503542,0.525077616,0.120983102,0,1,0,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,6,7,7,6,6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,15,16,15,15,15,16,15,14,15,15,0,0
,394,F34,,, ,HN,,143552.9673,0.467071632,-15,-10,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,395,F35,,,sea,HN,uk,143552.9673,0.467071632,-10,-5,60,65,0,0,0,0,0,0,0,0,0,1.253483013,-1.019585372,0.622401236,0.401586345,-1.308114344,-0.072166201,1.32841491,1.447969422,1.501279866,1.332816689,1.280593105,1.435017684,1.357382313,1.047686995,0.737991676,0.428296357,0.758315605,1.194132127,1.400591074,1.56878481,1.573847911,1.571559725,1.556202584,1.563526539,1.589407753,1.571613242,1.540026397,0.983026762,-0.062246693,-2.427667881,-1.747231663,1.230956633,0.914945836,0.539065583,1.205021577,1.576203059,1.74792427,1.451186845,1.25310553,1.118926546,0.665237785,0.799182696,1.275483468,1.541184581,1.60370041,1.147257133,-0.287080017,-3.496098084,-1.670499518,-0.860690048,0.314336458,-0.689920669,-1.400159846,0.770991997,1.313786893,0.871169208,-0.762397271,-1.004575502,1.197203833,0.653990736,-0.528864438,-1.549143959,-0.707632017,-0.025838828,-1.211819589,-0.436087255,-2.182063496,-0.94042328,-0.59257703,0.021220031,0.686490867,-1.922130913,-0.080304794,-1.086735681,-0.163805554,-0.409657944,-1.364128763,0.067958238,0.488008957,0.433754102,0.825279848,-0.499966405,-1.610235001,-0.234022462,0.104977112,-1.333955392,-0.60009236,-0.104951727,1.759175016,1.815674269,1.135469914,0.061762025,1.18966026,0.008181732,-0.402045392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,396,F36,,, ,HN,,143552.9673,0.467071632,-5,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,397,F37,,,sea,HN,scandinavia,143552.9673,0.467071632,0,5,60,65,0,0,0,0,0.209094804,0.183357374,-0.046477873,0.039227768,0.062391455,0.085555142,0.106145085,1.257653923,1.470505246,1.500274013,1.336131579,0.970326822,0.842995464,1.182017563,1.117508198,1.047742162,1.121463815,1.094839561,1.26917635,0.979970425,0.680387436,0.693694041,0.870237931,1.048299684,1.020556209,0.943551449,1.237372731,0.941287456,1.046440968,1.12004711,1.142720328,1.24713742,1.681650406,1.486851074,1.157766469,1.100137173,1.188910677,1.244656179,1.214789469,1.079762975,1.078871726,1.077980477,1.111782659,1.182653676,1.148465022,1.198659568,1.067489092,0.623928089,0.520463634,0.343536753,0.254066119,0.321601599,0.126512003,-0.109276045,-0.452643522,-0.499918599,-0.035799928,0.125017916,-0.111906834,-0.132111886,-0.035476798,-0.331437822,-0.26781951,-0.144489489,-0.083146307,-0.009771143,0.073578973,0.138482371,0.160211527,0.170874068,0.200212048,0.137920048,-0.046344696,0.139957038,0.097317586,-0.347169071,0.649655798,0.140893083,-0.00238169,-0.324016146,0.075377399,-0.061429867,-0.005867982,-0.306907646,0.454928785,0.308237038,0.318745965,0.653240861,0.412199718,0.49410484,0.903487315,0.542201069,0.935851812,1.266624411,1.374036861,1.604564622,2.53640041,1.260770989,1.905676298,1.981351426,2,1,0,0,-2,-2,-2,0,-3,-2,-5,-5,-4,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,398,F38,,,land,HN,scandinavia,143552.9673,0.467071632,5,10,60,65,0,-0.78425674,-0.829329383,-0.994817218,-1.193040654,-1.27858956,-1.26765726,-1.20708104,-1.099645796,-1.124313628,-1.097715785,-1.032857965,-1.048946437,-0.976042432,-0.745969136,-0.821459166,-0.960126863,-0.864799466,-0.689270784,-0.690144966,-0.613089171,-0.55412713,-0.800105224,-1.113546403,-0.993399928,-0.879502972,-0.876567183,-0.864725061,-0.621904978,-0.60823879,-0.702380803,-0.711102188,-0.955645076,-0.946184215,-0.842717071,-0.896441226,-0.617693872,-0.499428731,-0.784321394,-0.751427805,-0.542130725,-0.265941697,-0.165482452,-0.066299218,-0.034238219,-0.052157957,-0.054665884,-0.062897698,-0.075000746,-0.287709833,-0.395074282,-0.365159594,-0.268462093,-0.147426945,-0.177988681,-0.155293797,-0.030195199,0.106515542,0.168359781,0.117454329,0.047488836,0.104330624,0.219683238,0.24412979,0.203855965,0.387066422,0.558465134,0.251879826,0.211065367,0.187065702,0.010866959,0.030714409,0.21245152,0.463211466,0.214757479,0.299848424,0.432854014,0.378874872,0.415559584,0.187822419,0.161738417,0.075654311,0.025422506,-0.105084418,0.085952455,-0.00344406,-0.046438025,-0.239034617,-0.342672436,-0.317293929,-0.363611528,-0.193691564,-0.123481992,-0.060501296,0.291225029,0.39473067,0.393690546,0.283497061,0.130522691,0.016829416,0.059512479,0.184668731,-0.00297731,-0.155048291,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,399,F39,,,land,HN,scandinavia,143552.9673,0.467071632,10,15,60,65,0,-2.259158064,-1.455933989,-1.099244862,-1.267927688,-1.201029485,-1.260502888,-1.361360942,-1.131223847,-0.974877788,-1.060878235,-0.718059762,-0.783532213,-0.798751514,-0.939945735,-0.726113081,-0.894851502,-1.009115712,-0.3761261,-0.593585778,-0.631114351,-0.090947758,-0.550484519,-0.569897989,0.03831285,-0.332025797,0.090466238,-0.308457446,-0.520713186,-0.397937261,0.126846786,0.396042462,0.068043423,-0.054350564,-0.359934818,0.406709156,-0.008500796,0.643252554,0.346950873,0.120027314,0.420819263,0.416031956,0.100663925,0.405541361,0.08296269,0.334027149,0.262875797,0.358459466,0.590916602,0.475902813,0.474384616,0.618962363,0.527874825,0.985867939,1.274963896,1.00164771,0.765370254,0.598375862,0.975894529,0.733276996,0.637305138,0.763490338,0.972736279,0.840490374,0.336058443,0.687649351,1.141252741,0.955850325,0.587880991,0.786606383,1.004949137,0.748977741,1.219969859,0.943279243,0.933269603,0.923662348,0.761699339,0.828964312,0.812939032,0.884214387,0.74682635,0.409431673,0.173994596,0.128631174,-0.036279101,-0.215230665,-0.098680177,0.027744578,-0.040791439,-0.203952694,-0.348683848,-0.236001434,0.166701222,0.400219358,0.063147487,0.422774638,0.67853838,0.610857107,1.267336073,1.269617491,0.638666615,0.454843675,0.073113839,-0.192344307,1,1,-1,-1,-2,-1,-1,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,400,F40,,,land,HN,scandinavia,143552.9673,0.467071632,15,20,60,65,0,-0.538233117,-0.596745699,-0.556387486,-0.839507878,-0.586456522,-0.764618703,-0.897638949,-0.886740234,-0.740297049,-0.361315827,0.090887489,-0.026857671,-0.34680016,-0.594069275,-0.108416429,0.241225057,-0.268382888,-0.58081313,-0.210508464,-0.794468161,-0.636206081,-0.415472477,-0.306490622,0.080600639,0.038278436,0.359281001,0.268935517,0.763823716,1.161288711,1.189272766,0.994624477,0.158022294,0.942229773,0.862402576,0.290120661,0.149295323,0.28223136,0.813480713,1.402170685,1.366130131,0.930239973,1.350910275,1.324369575,1.358746624,1.25179386,1.138332621,1.075692111,1.007262492,1.420904027,1.415838494,1.895592251,1.633845585,1.532097675,1.20157053,1.14791266,1.877355305,1.832715271,2.224737577,1.972107106,1.997247255,2.038936075,2.507754612,2.390749821,2.683572543,2.566113994,2.161250283,2.47683519,2.4447307,1.739106335,1.957942423,1.544418289,1.453263878,1.723886015,1.784346901,1.869559618,1.919854418,1.566205479,1.179293118,0.778021136,0.260829913,0.121826772,-0.027064954,0.574905526,0.010335546,-0.246410648,0.130277968,-0.233131191,0.356984404,0.916682532,-0.078130828,0.440617575,-0.244107766,0.488625669,0.049029201,-0.197396704,-0.352192219,-0.303545734,-0.25489925,-0.029500548,-0.362124803,-0.813901085,-0.474281277,0.03449116,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,401,F41,,,land,HN,c_north_europe,143552.9673,0.467071632,20,25,60,65,0,-2.815676556,-2.016326497,-2.333925098,-2.316308356,-1.936249634,-0.971537172,-1.815451961,-2.68123783,-2.442118489,-2.690186957,-2.517718091,-2.317603377,-1.946711707,-2.718900253,-3.532565553,-4.289553342,-2.597108604,-1.879571629,-1.410882902,-1.19295195,-0.62817188,-0.991564775,-1.827575268,-1.419572315,-1.065817199,-1.144514516,-1.28629441,-1.194469326,-0.971381924,-1.20145827,-1.351550378,-1.201045465,-1.078735559,-0.646199839,-0.926366574,-0.592875437,-0.276898376,-0.245173556,0.017942724,0.507855604,0.721986702,0.76061589,0.645256546,0.63794667,0.546596159,0.261317636,0.466492163,0.065922854,0.409819892,1.222445711,1.56021441,1.158576265,1.233679331,0.889770448,0.700042817,0.650208671,0.753078783,0.861474631,0.640192019,0.574645968,0.791582718,0.323680656,0.30681905,0.551449897,0.458419693,1.091711682,0.872736966,0.968488553,0.89154956,0.540468011,1.068214262,0.668560184,0.923626889,0.263452254,0.04213684,1.293999779,0.966866131,-0.092906226,-0.408116974,0.233098282,0.502894218,0.780923202,0.861602621,1.118973363,0.38790282,-0.261066784,0.020925736,-0.025178433,-0.74603655,-1.074447899,-1.479512707,-1.037752178,-0.655652555,-0.24064859,0.280581445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
