FID,PageName,PageNumber,area,a_weight,regional
0,A1,1,13599.346611900000426,0.044247563343600,
1,A2,2,13599.377779399999781,0.044247664751900,
2,A3,3,13599.377779399999781,0.044247664751900,
3,A4,4,13599.377779399999781,0.044247664751900,
4,A5,5,13599.377779399999781,0.044247664751900,
5,A6,6,13599.377779399999781,0.044247664751900,
6,A7,7,13599.377779399999781,0.044247664751900,
7,A8,8,13599.377779399999781,0.044247664751900,
8,A9,9,13599.377779399999781,0.044247664751900,
9,A10,10,13599.377779399999781,0.044247664751900,
10,A11,11,13599.377779399999781,0.044247664751900,
11,A12,12,13599.377779399999781,0.044247664751900,
12,A13,13,13599.377779399999781,0.044247664751900,
13,A14,14,13599.377779399999781,0.044247664751900,
14,A15,15,13599.377779399999781,0.044247664751900,
15,A16,16,13599.377779399999781,0.044247664751900,
16,A17,17,13599.377779399999781,0.044247664751900,
17,A18,18,13599.377779399999781,0.044247664751900,
18,A19,19,13599.377779399999781,0.044247664751900,
19,A20,20,13599.377779399999781,0.044247664751900,
20,A21,21,13599.377779399999781,0.044247664751900,
21,A22,22,13599.377779399999781,0.044247664751900,
22,A23,23,13599.377779399999781,0.044247664751900,
23,A24,24,13599.377779399999781,0.044247664751900,
24,A25,25,13599.377779399999781,0.044247664751900,
25,A26,26,13599.377779399999781,0.044247664751900,
26,A27,27,13599.377779399999781,0.044247664751900,
27,A28,28,13599.377779399999781,0.044247664751900,
28,A29,29,13599.377779399999781,0.044247664751900,
29,A30,30,13599.377779399999781,0.044247664751900,
30,A31,31,13599.377779399999781,0.044247664751900,
31,A32,32,13599.377779399999781,0.044247664751900,
32,A33,33,13599.377779399999781,0.044247664751900,
33,A34,34,13599.377779399999781,0.044247664751900,
34,A35,35,13599.377779399999781,0.044247664751900,
35,A36,36,13599.377779399999781,0.044247664751900,
36,A37,37,13599.377779399999781,0.044247664751900,
37,A38,38,13599.377779399999781,0.044247664751900,
38,A39,39,13599.377779399999781,0.044247664751900,
39,A40,40,13599.377779399999781,0.044247664751900,
40,A41,41,13599.377779399999781,0.044247664751900,
41,A42,42,13599.377779399999781,0.044247664751900,
42,A43,43,13599.377779399999781,0.044247664751900,
43,A44,44,13599.377779399999781,0.044247664751900,
44,A45,45,13599.377779399999781,0.044247664751900,
45,A46,46,13599.377779399999781,0.044247664751900,
46,A47,47,13599.377779399999781,0.044247664751900,
47,A48,48,13599.377779399999781,0.044247664751900,
48,A49,49,13599.377779399999781,0.044247664751900,
49,A50,50,13599.377779399999781,0.044247664751900,
50,A51,51,13599.377779399999781,0.044247664751900,
51,A52,52,13599.377779399999781,0.044247664751900,
52,A53,53,13599.377779399999781,0.044247664751900,
53,A54,54,13599.377779399999781,0.044247664751900,
54,A55,55,13599.377779399999781,0.044247664751900,
55,A56,56,13599.377779399999781,0.044247664751900,
56,A57,57,13599.377779399999781,0.044247664751900,
57,A58,58,13599.377779399999781,0.044247664751900,
58,A59,59,13599.377779399999781,0.044247664751900,
59,A60,60,13599.377779399999781,0.044247664751900,
60,A61,61,13599.377779399999781,0.044247664751900,
61,A62,62,13599.377779399999781,0.044247664751900,
62,A63,63,13599.377779399999781,0.044247664751900,
63,A64,64,13599.377779399999781,0.044247664751900,
64,A65,65,13599.377779399999781,0.044247664751900,
65,A66,66,13599.377779399999781,0.044247664751900,
66,A67,67,13599.377779399999781,0.044247664751900,
67,A68,68,13599.377779399999781,0.044247664751900,
68,A69,69,13599.377779399999781,0.044247664751900,
69,A70,70,13599.377779399999781,0.044247664751900,
70,A71,71,13599.377779399999781,0.044247664751900,
71,A72,72,13599.346611900000426,0.044247563343600,
72,B1,73,40686.261777699997765,0.132379002948000,
73,B2,74,40686.355023900003289,0.132379306339000,
74,B3,75,40686.355023900003289,0.132379306339000,
75,B4,76,40686.355023900003289,0.132379306339000,
76,B5,77,40686.355023900003289,0.132379306339000,
77,B6,78,40686.355023900003289,0.132379306339000,
78,B7,79,40686.355023900003289,0.132379306339000,
79,B8,80,40686.355023900003289,0.132379306339000,
80,B9,81,40686.355023900003289,0.132379306339000,
81,B10,82,40686.355023900003289,0.132379306339000,
82,B11,83,40686.355023900003289,0.132379306339000,
83,B12,84,40686.355023900003289,0.132379306339000,
84,B13,85,40686.355023900003289,0.132379306339000,
85,B14,86,40686.355023900003289,0.132379306339000,
86,B15,87,40686.355023900003289,0.132379306339000,
87,B16,88,40686.355023900003289,0.132379306339000,
88,B17,89,40686.355023900003289,0.132379306339000,
89,B18,90,40686.355023900003289,0.132379306339000,
90,B19,91,40686.355023900003289,0.132379306339000,
91,B20,92,40686.355023900003289,0.132379306339000,
92,B21,93,40686.355023900003289,0.132379306339000,greenland
93,B22,94,40686.355023900003289,0.132379306339000,greenland
94,B23,95,40686.355023900003289,0.132379306339000,greenland
95,B24,96,40686.355023900003289,0.132379306339000,greenland
96,B25,97,40686.355023900003289,0.132379306339000,greenland
